Company,Industry Sector,Country/Region,eBPF NFs Deployed,Specific Tools / Projects,How They Use eBPF NFs,UC1 Security: Conformance Check,UC1 Detail — What Yaksha Prashna Verifies,UC2 Debugging: NF Behavior,UC2 Detail — What Retrieval Queries Answer,UC3 Performance,UC3 Detail — What NF Analysis Optimizes,Fit Score (1-5),Priority Tier,Evidence / Source
Cloudflare,CDN / DDoS / Network Security,USA (Global),XDP DDoS mitigator; XDP load balancer; Magic Transit; rate-limiter NFs; custom traffic classifiers,XDP programs; xdpcap (open-sourced); custom eBPF,Drops malicious packets at NIC driver before Linux stack; processes terabits/sec; built xdpcap because tcpdump fails with XDP,YES — Critical,Verify XDP NF drops ALL packets matching current block-list — any false-negative = DDoS protection bypass at terabit scale,YES — Critical,"Why does this NF pass/drop specific packet? (Currently requires xdpcap runtime capture — Yaksha Prashna replaces this with static behavioral query, no runtime needed)",YES — Critical,Identify which traffic classes trigger expensive NF code paths at line-rate; optimize verifier-constrained complexity,5,Tier 1 — Primary,"Cloudflare Engineering Blog; xdpcap GitHub; NetDev conference; multiple XDP/eBPF blog posts"
Meta (Facebook),Hyperscaler / Social Media,USA,Katran (XDP L4 load balancer); BpfJailer (security enforcement); bpfilter (packet filtering); Strobelight (profiler),Katran (XDP/XDP); BpfJailer; bpfilter (Linux kernel contribution); libbpf,Katran processes ALL meta.com ingress; BpfJailer enforces workload security; bpfilter translates firewall rules to eBPF,YES — Critical,Verify BpfJailer blocking rules in bytecode match security policy before fleet-wide deployment to billions of daily users,YES — Critical,Why did Katran route a packet to backend B instead of A? Under what conditions does BpfJailer allow vs. block?,YES — Critical,Understand which traffic patterns/flows trigger expensive Katran code paths (e.g. NAT fallback); fleet-level cost optimization,5,Tier 1 — Primary,"Katran GitHub (facebookincubator/katran); Meta Engineering blog; bpfilter Linux kernel; NetDev talks"
Isovalent / Cilium (Cisco),Cloud-Native Networking & Security,USA / Global,Cilium CNI (L3/L4/L7 policy; kube-proxy replacement; Maglev LB; WireGuard encryption); Tetragon (runtime enforcement); Hubble (observability),Cilium; Tetragon; Hubble,"Default CNI for GKE, AKS, EKS Anywhere; 100+ production orgs; Tetragon blocks syscalls/network from eBPF at runtime",YES — Critical,Verify Tetragon TracingPolicy NF bytecode correctly implements stated security enforcement rules (block/allow syscalls/network),YES — Critical,When Cilium drops unexpected traffic — what conditions in the policy NF triggered it? Hubble shows flows; Yaksha Prashna explains NF decisions,YES,Verify no performance regression in new Cilium NF versions; identify code path bottlenecks in policy enforcement chains,5,Tier 1 — Primary,"Cilium USERS.md (100+ orgs); Tetragon GitHub; Hubble GitHub; GKE Dataplane V2 blog; CNCF project"
Rakuten Mobile / Rakuten Symphony,Telecom / 5G,Japan,Sauron eBPF Platform: 5G protocol observability (NGAP/NAS); XDP DDoS mitigator; LSM security tracing; traffic mirroring; energy monitor; AI/ML anomaly pipeline,Sauron (custom); XDP hooks; LSM hooks; libbpf,World's first fully virtualised 4G/5G network; Sauron instruments kernel for 5G protocol events; integrates AI/ML for anomaly detection,YES — Critical,Verify Sauron eBPF NFs implementing 5G security functions conform to 3GPP standards (TS 23.501) — regulatory compliance requirement,YES — Critical,"Under what NGAP/NAS packet conditions does this 5G NF deviate? Compress root cause analysis for PDU session, handover failures",YES — Critical,5G requires sub-millisecond latency; even microsecond NF overhead analysis is mission-critical for subscriber experience,5,Tier 1 — Primary,"eBPF Summit (Sauron presentation); eBPF for Modern Telco whitepaper; ebpf.foundation case study"
Google,Cloud Provider / Hyperscaler,USA (Global),GKE Dataplane V2 (Cilium); Buzzer (eBPF fuzzer); Android eBPF traffic accounting NFs; internal GCP security auditing eBPF,Cilium (GKE); Buzzer (open-source); libbpf; internal tools,"Default Cilium CNI in GKE; Buzzer fuzzes eBPF programs for bugs; Android uses eBPF NFs for per-app traffic accounting, power profiling",YES — Critical,Verify Cilium NF bytecode enforces GKE network policy semantics — required for cloud customer compliance (SOC 2 / PCI-DSS),YES — Critical,"GCP support handles thousands of GKE network debugging tickets: ""Why can't pod A reach service B?"" Yaksha Prashna answers from NF bytecode",YES,GCP-scale demands consistent NF efficiency; Cilium NF verification prevents performance regressions across fleet upgrades,5,Tier 1 — Primary,"GKE Dataplane V2 blog; Buzzer GitHub; Cilium USERS.md (Google entry); Android eBPF documentation"
ByteDance (TikTok),Hyperscaler / Social Media,China / Global,Netkit eBPF container networking (~1M servers); Cilium CNI for self-hosted Kubernetes; custom traffic routing NFs,Netkit (Linux kernel contribution); Cilium; custom eBPF,"Netkit contributed to Linux kernel mainline; 10% throughput improvement documented; Cilium CNI for millions of containers",YES,Fleet-wide security policy conformance across 1M servers — automated conformance checking replacing manual review is essential at this scale,YES,Debugging NF behavior across 1M heterogeneous servers — retrieval queries without kernel expertise are essential at this scale,YES — Critical,"10% throughput improvement from Netkit; NF behavioral analysis enables further gains; identifies code paths for specific traffic types",5,Tier 1 — Primary,"Netkit Linux kernel commit; Netdev conference; Cilium USERS.md (ByteDance entry); eBPF.io user story; ByteDance eBPF presentations"
Microsoft,OS Vendor / Cloud Provider,USA (Global),"Azure CNI powered by Cilium (AKS); Retina (eBPF networking observability tool); eBPF for Windows; Hornet LSM (eBPF signature verification); Sysmon for Linux (eBPF security monitoring)","Cilium (AKS); Retina (GitHub: microsoft/retina); eBPF for Windows (GitHub); PREVAIL verifier; Hornet LSM (Linux kernel RFC); Sysmon for Linux","Cilium default CNI for AKS; Retina open-sourced for Kubernetes observability; Hornet enforces only signed eBPF can run; eBPF for Windows ports eBPF to Windows kernel",YES — Critical,"Hornet verifies WHO signed eBPF NF; Yaksha Prashna verifies WHAT IT DOES — together they provide complete assurance. Direct complement to Microsoft security posture.",YES — Critical,Retina shows network metrics; Yaksha Prashna explains WHY the NF is making specific decisions — behavioral depth Retina currently lacks,YES,AKS cloud-scale demands consistent Cilium NF efficiency for Azure SLAs,5,Tier 1 — Primary,"Azure CNI blog; Retina GitHub; eBPF for Windows GitHub; Hornet LSM RFC (phoronix); Sysmon for Linux GitHub"
Nokia (L3AF Project),Telecom Equipment / 5G,Finland / Global (Linux Foundation),"L3AF: Complete eBPF program lifecycle management for distributed environments — launch, manage, reconfigure, update, inspect, reorder XDP and TC eBPF programs on-the-fly","L3AF (Linux Foundation project; GitHub: l3af-project/l3afd); L3AF APIs","Manages eBPF NF lifecycle in distributed 5G and edge environments; provides metrics for running eBPF programs; supports program cooperation for XDP/TC chains",YES — Critical,"L3AF can integrate Yaksha Prashna as a verification GATE: before hot-deploying an eBPF NF update to production, verify new bytecode maintains required behavioral properties",YES — Critical,"L3AF monitors eBPF programs via metrics — Yaksha Prashna adds behavioral EXPLANATION when metrics show anomalies: ""What does the NF do differently to cause this metric spike?""",YES — Critical,L3AF manages 5G dataplane eBPF NFs where performance is mission-critical; NF behavioral verification ensures no perf regression on update,5,Tier 1 — Primary,"L3AF GitHub; Linux Foundation project page; eBPF.io applications listing; Telecom Infra Project"
Ant Group (Alibaba Financial Services),FinTech / Payments (China),China,"AntCWPP: Kata Containers + eBPF NFs injected into guest VM kernels. Monitors: process creation, syscalls, network access, file ops. Blocks: reverse shells, fileless malware, container escapes. AI agent security NFs.",AntCWPP (custom); Kata Containers; eBPF LSM hooks inside guest kernels; libbpf,Deploys eBPF security NFs as bytecode into Kata VM guest kernels. NFs enforce fine-grained policies for Alipay payment infrastructure and AI agent computing environments.,YES — Critical,"Verify security eBPF NF bytecode (delivered to Kata VMs) correctly blocks stated threats: ""Does this NF ALWAYS block reverse shell connections?"" Critical for Alipay's payment platform security assurance.",YES — Critical,When a security NF fails to prevent a specific threat — behavioral analysis identifies the packet/syscall condition that was not covered by the enforcement NF,YES,AI agent computing requires high-performance kernel isolation — guest kernel NF efficiency across containerized payment workloads matters,5,Tier 1 — Primary,"eBPF Foundation case study; katacontainers.io blog; eBPF.io user story; eBPF Summit presentation"
AWS (Amazon),Cloud Provider,USA (Global),EKS Anywhere: Cilium as default CNI; VPC CNI eBPF programs; custom networking NFs for VPC routing,Cilium (EKS Anywhere); AWS VPC CNI; custom eBPF for VPC,Cilium is default CNI for EKS Anywhere; VPC networking uses eBPF programs for routing and security group enforcement at cloud scale,YES,Verify Cilium NFs correctly enforce VPC security group semantics — AWS promises customers their security group rules are enforced,YES,AWS handles thousands of EKS network connectivity support tickets. Yaksha Prashna behavioral queries on deployed Cilium NF would systematize diagnosis currently requiring kernel expertise,YES,EKS-scale demands consistent NF efficiency for AWS SLA commitments,4,Tier 1 — Primary,"EKS Anywhere blog (Cilium announcement 2021); Cilium USERS.md (AWS entry); AWS VPC CNI GitHub"
Netflix,Streaming / CDN,USA (Global),"TCP flow exporter eBPF NF (tracepoints; <1% overhead; container-level attribution); scheduler observability NF (sched_wakeup/switch hooks for noisy-neighbor detection); bpftop (open-sourced: runtime NF performance monitor)",bpftop (GitHub: Netflix/bpftop); custom eBPF flow exporter; custom scheduler instrumentation NF,TCP flow exporter captures all flows for microservice network visibility; scheduler NF detects CPU contention; bpftop monitors NF overhead dynamically,YES,Flow capture NF must correctly attribute ALL connections to containers — conformance of monitoring NF (missed flows = blind spots in microservice observability),YES,Why does the noisy-neighbor NF trigger false positives for certain workload patterns? Retrieval queries explain behavioral conditions without requiring production traffic replays,YES — Critical,"Netflix documented <600ns overhead goal per hook call. bpftop shows total CPU but not WHICH code paths. Yaksha Prashna's behavioral analysis identifies paths for specific workload types, enabling targeted optimization",4,Tier 1 — Primary,"Netflix Tech Blog (multiple eBPF posts); bpftop GitHub; eBPF Summit 2024 presentation; InfoQ Netflix eBPF article"
Datadog,Observability / Monitoring SaaS,USA (Global),"NPM (Network Performance Monitoring): eBPF connection tracker replacing polling (35% CPU reduction); Cloud Security Management: eBPF syscall/network monitoring NF; Cilium on AWS self-hosted k8s","Custom eBPF agents; NPM eBPF tracker; Cilium (AWS); CSM eBPF NF","eBPF-based zero-instrumentation NPM tracks all TCP/UDP connections; CSM enforces security monitoring; Cilium for internal infrastructure; Datadog's entire observability product relies on eBPF NF correctness",YES,Security NF must capture all relevant events — conformance ensures no detection gap in CSM product (missed event = missed threat for Datadog's customers),YES,"NPM NF must correctly attribute connections to services. When attribution is wrong: ""Under what conditions does this tracking NF misattribute connections?"" — retrieval queries answer this systematically",YES — Critical,"35% CPU reduction documented. Yaksha Prashna identifies further NPM NF optimization opportunities — important commercial differentiation for Datadog's SaaS pricing model",4,Tier 1 — Primary,"Datadog NPM blog; eBPF.io user story; Cilium USERS.md (Datadog entry); Datadog eBPF engineering posts"
Aqua Security,Cloud-Native Security / CNAPP,Israel / USA,Tracee: eBPF-based runtime security and forensics. Filters OS events (network connections; process creation; file access; syscalls) using eBPF programs. Open-source CNCF project.,"Tracee (GitHub: aquasecurity/tracee); libbpf ; custom eBPF detection NFs","Tracee's eBPF NFs capture syscalls and network events matching detection rules; used for runtime forensics, incident investigation, threat detection in Kubernetes environments",YES — Critical,"Tracee's detection rules are encoded in eBPF NFs. Yaksha Prashna verifies: ""Does the bytecode capture EVERY event the detection rule specifies?"" A gap = missed detection = security product failure.",YES — Critical,When Tracee emits false positives or misses detections — behavioral analysis of the eBPF NF identifies the exact condition causing the gap versus what the rule intends,PARTIAL,Tracee agent overhead matters for adoption — NF performance analysis helps optimize detection NFs,4,Tier 2 — Strong,"Tracee GitHub (aquasecurity/tracee); Aqua Security blog on eBPF; eBPF.io applications listing"
